,Itr,ReturnAvg,ReturnMax,ReturnMin,ReturnStd,TrainingLossFinal,TrainingLossStart
0,-1,-143.81956655974838,-111.7434859304492,-203.5179596002007,30.320242114796574,,
1,0,14.682493218500031,57.71652875784223,-28.690160255723207,25.951694556291436,0.012765119783580303,1.0730785131454468
2,1,62.051313322533154,115.6774654526318,27.410341898653236,25.239371420304742,0.011255569756031036,0.03995801508426666
3,2,72.23507210986239,100.56817373748547,29.66256956546954,21.151170277318226,0.009044171310961246,0.014277225360274315
4,3,90.51948039892483,155.69382280466436,6.37612680586816,41.476474267763734,0.01234571821987629,0.013629108667373657
5,4,101.1736713850036,137.15628766406536,61.751582638741624,24.158438842076123,0.010406719520688057,0.012241194024682045
6,5,53.71724145852254,82.5642494717513,11.919154554340803,20.21848340173588,0.007608172949403524,0.009050155989825726
7,6,81.9307502048467,112.58089940214872,64.88108816407261,16.486174806968982,0.008717690594494343,0.008641372434794903
8,7,104.86679335017323,197.50338369341773,-17.860274095136567,58.78024262787719,0.010277969762682915,0.010059377178549767
9,8,99.27553126973933,143.9554099729851,17.573004970806487,35.786732588046796,0.009101680479943752,0.01120922900736332
10,9,74.87801198853516,136.86060104731055,21.83052986440284,35.32734212753829,0.00955807976424694,0.009252471849322319
11,10,27.098545912008127,111.81383560404237,-46.694036002867215,45.238821661685975,0.01111652236431837,0.010541684925556183
